"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"19","luz del norte","2016","02","04","18","21","6.0","","89.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 202 MVA a 28 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","8","58","","","23.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","05","8","58","","1.0","31.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","05","8","58","","11.0","103.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  253 MVA a 20 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","10","16","","1.0","22.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","10","16","","","31.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","05","10","16","","4.0","99.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","11","3","","1.0","21.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","11","3","","","31.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","05","11","3","","4.0","95.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","11","50","","1.0","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","11","50","","","31.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","05","11","50","","3.0","92.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","13","12","","","20.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","05","13","12","","1.0","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","05","13","12","","3.0","89.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","13","47","","1.0","19.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","13","47","","1.0","29.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","05","13","47","","3.0","86.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","14","16","","1.0","18.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","14","16","","1.0","28.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","05","14","16","","3.0","83.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","05","18","22","1.0","","19.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"9","san andres","2016","02","05","18","22","2.0","","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","05","18","22","5.0","","88.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 194 MVA a 29 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","9","10","","1.0","22.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","9","10","","","32.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","06","9","10","","7.0","108.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","9","55","","","22.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","06","9","55","","","32.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","06","9","55","","3.0","105.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","10","10","","1.0","21.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","10","10","","","32.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","06","10","10","","3.0","102.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","10","24","","","21.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"9","san andres","2016","02","06","10","24","","","32.0","Central sin variación por Línea 220 kV San Andrés - Cardones"
"19","luz del norte","2016","02","06","10","24","","4.0","98.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","06","11","54","","1.0","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
"9","san andres","2016","02","06","11","54","","1.0","31.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
