"año","mes","día","total_baja","descrp"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Redistribución de Potencia  -20 MW"
2016,2,11,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,11,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,12,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,13,24,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  323 MVA a 26 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  338 MVA a 25 °C con Sol  flujo N>S. "
2016,2,13,24,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,13,24,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,28,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,14,28,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,14,28,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,14,28,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,14,28,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  290 MVA a 33 °C con Sol  flujo N>S. "
2016,2,14,28,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  290 MVA a 33 °C con Sol  flujo N>S. "
2016,2,14,28,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,28,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,14,28,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
