"año","mes","día","total_baja","descrp"
2016,3,28,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  187 MVA a 30 °C con Sol  flujo N>S. "
2016,3,28,2,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,3,28,2,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Redistribución de Potencia PE Taltal menor energía eólica PE Taltal 15 MW"
2016,3,29,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,29,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,3,30,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,1,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,1,0,"Redistribución de Potencia Aumento en carga eólica de PE Taltal -25 MW"
2016,4,2,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,2,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,2,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,4,2,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,4,6,3,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,6,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,4,6,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,4,6,3,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
2016,4,7,36,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,7,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,4,7,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,4,7,36,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,4,7,36,"Salida intespestiva por falla"
2016,4,7,36,"En pruebas"
2016,4,7,36,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 22 °C con Sol  flujo N>S. "
2016,4,7,36,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,7,36,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,7,36,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  380 MVA a 20 °C con Sol  flujo N>S. "
2016,4,8,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,8,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,8,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,8,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  241 MVA a 22 °C con Sol  flujo N>S. "
2016,4,8,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,4,8,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,4,8,5,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,4,8,5,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,9,0,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 270 MVA a 17 °C con Sol  flujo N>S. "
2016,4,9,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,9,0,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,9,0,"Redistribución por baja en carga eólica - Prorrata por Control TX Línea 220 kV San Andrés - Cardones. 253 MVA a 20 °C con Sol  flujo N>S. "
2016,4,9,0,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,4,10,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,10,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,10,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,10,1,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,4,10,1,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,4,10,1,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
